s,from_country,dest_airport_code,dest_country,aircraft_type,airline_number,airline_name,flight_number,departure_time,arrival_time,duration,stops,price,currency,co2_emissions,avg_co2_emission_for_this_route,co2_percentage,scan_date
DUB,Dublin,AEP,Argentina,Airbus A320|Boeing 787|Airbus A320,multi,[Iberia| LATAM],IB3791|IB3791|IB3791,5/7/2022 18:05,5/8/2022 18:28,1703,2,1841,USD,1349000,1194000,12%,4/29/2022 17:52
DUB,Dublin,AEP,Argentina,Airbus A321|Boeing 777|Airbus A320,multi,[Lufthansa| LATAM],LH981|LH981|LH981,5/7/2022 17:50,5/9/2022 10:25,2675,2,1895,USD,1374000,1194000,15%,4/29/2022 17:52
DUB,Dublin,AEP,Argentina,Airbus A321|Boeing 777|Airbus A320,multi,[Lufthansa| LATAM],LH979|LH979|LH979,5/7/2022 12:25,5/9/2022 10:25,3000,2,2797,USD,1374000,1194000,15%,4/29/2022 17:52
DUB,Dublin,AEP,Argentina,Canadair RJ 900|Airbus A220-100 Passenger|Boeing 777|Airbus A320,multi,[Lufthansa| SWISS| LATAM],LH977|LH977|LH977|LH977,5/7/2022 09:15,5/8/2022 10:15,1740,3,2870,USD,1491000,1194000,24%,4/29/2022 17:52
DUB,Dublin,AEP,Argentina,Canadair RJ 900|Embraer 190|Boeing 777|Airbus A320,multi,[Lufthansa| SWISS| LATAM],LH977|LH977|LH977|LH977,5/7/2022 09:15,5/8/2022 10:15,1740,3,2870,USD,1506000,1194000,26%,4/29/2022 17:52
DUB,Dublin,AEP,Argentina,Airbus A321|Airbus A220-100 Passenger|Boeing 777|Airbus A320,multi,[Lufthansa| SWISS| LATAM],LH979|LH979|LH979|LH979,5/7/2022 12:25,5/8/2022 10:15,1550,3,2870,USD,1545000,1194000,29%,4/29/2022 17:52
DUB,Dublin,AEP,Argentina,Airbus A321|Embraer 190|Boeing 777|Airbus A320,multi,[Lufthansa| SWISS| LATAM],LH979|LH979|LH979|LH979,5/7/2022 12:25,5/8/2022 10:15,1550,3,2870,USD,1471000,1194000,23%,4/29/2022 17:52
DUB,Dublin,AEP,Argentina,Airbus A321|Airbus A320neo|Boeing 777|Airbus A320,multi,[Lufthansa| SWISS| LATAM],LH979|LH979|LH979|LH979,5/7/2022 12:25,5/8/2022 10:15,1550,3,2870,USD,1531000,1194000,28%,4/29/2022 17:52
DUB,Dublin,AEP,Argentina,Airbus A321|Boeing 787|Airbus A320,multi,[Air France| LATAM],AF1017|AF1017|AF1017,5/7/2022 06:05,5/8/2022 10:15,1930,2,2904,USD,1157000,1194000,-3%,4/29/2022 17:52
DUB,Dublin,AEP,Argentina,Airbus A321|Airbus A350|Airbus A320,multi,[Air France| LATAM],AF1017|AF1017|AF1017,5/7/2022 06:05,5/8/2022 16:50,2325,2,2914,USD,1032000,1194000,-13%,4/29/2022 17:52
DUB,Dublin,AEP,Argentina,Airbus A320|Boeing 787|Airbus A320,multi,[Iberia| LATAM],IB3791|IB3791|IB3791,5/7/2022 18:05,5/9/2022 10:25,2660,2,3060,USD,1105000,1194000,-7%,4/29/2022 17:52
DUB,Dublin,AEP,Argentina,Airbus A320|Airbus A330|Airbus A320,multi,[Iberia| LATAM],IB3791|IB3791|IB3791,5/7/2022 18:05,5/9/2022 10:25,2660,2,3060,USD,1268000,1194000,6%,4/29/2022 17:52
CPH,Denmark,TPE,Taiwan,Airbus A320neo|Airbus A350|Airbus A350,multi,[SAS| THAI],SK1428|SK1428|SK1428,5/30/2022 23:00,6/1/2022 13:05,1925,2,437,USD,959000,1214000,-20%,4/29/2022 17:52
CPH,Denmark,TPE,Taiwan,Boeing 777|Airbus A350,TG,[THAI],TG951|TG951,5/30/2022 14:25,6/1/2022 13:05,2440,1,510,USD,1243000,1214000,2%,4/29/2022 17:52
CPH,Denmark,TPE,Taiwan,Airbus A321|Boeing 777,TK,[Turkish Airlines],TK1786|TK1786,5/30/2022 18:55,5/31/2022 17:55,1020,1,524,USD,1181000,1214000,-2%,4/29/2022 17:52
CPH,Denmark,TPE,Taiwan,Boeing 777|Boeing 777,EK,[Emirates],EK152|EK152,5/30/2022 15:35,5/31/2022 17:10,1175,1,659,USD,1152000,1214000,-5%,4/29/2022 17:52
CPH,Denmark,TPE,Taiwan,Airbus A321|Boeing 777,TK,[Turkish Airlines],TK1784|TK1784,5/30/2022 10:45,5/31/2022 17:55,1510,1,524,USD,1181000,1214000,-2%,4/29/2022 17:52
CPH,Denmark,TPE,Taiwan,Boeing 737|Boeing 777,TK,[Turkish Airlines],TK1782|TK1782,5/30/2022 14:55,5/31/2022 17:55,1260,1,524,USD,1178000,1214000,-2%,4/29/2022 17:52
CPH,Denmark,TPE,Taiwan,Boeing 737|Boeing 777,TK,[Turkish Airlines],TK7841|TK7841,5/30/2022 13:00,5/31/2022 17:55,1375,1,543,USD,1146000,1214000,-5%,4/29/2022 17:52
CPH,Denmark,TPE,Taiwan,Airbus A321 (Sharklets)|Airbus A350|Boeing 777,multi,[Finnair| EVA Air],AY956|AY956|AY956,5/30/2022 17:00,6/1/2022 17:45,2565,2,613,USD,1288000,1214000,6%,4/29/2022 17:52
CPH,Denmark,TPE,Taiwan,Airbus A321 (Sharklets)|Airbus A350|Boeing 777,multi,[Finnair| EVA Air],AY960|AY960|AY960,5/30/2022 19:15,6/1/2022 17:45,2430,2,613,USD,1288000,1214000,6%,4/29/2022 17:52
CPH,Denmark,TPE,Taiwan,Airbus A321 (Sharklets)|Airbus A350|Airbus A350,multi,[Finnair| THAI],AY960|AY960|AY960,5/30/2022 19:15,6/1/2022 13:05,2150,2,667,USD,961000,1214000,-20%,4/29/2022 17:52
CPH,Denmark,TPE,Taiwan,Airbus A320|Airbus A321|Boeing 787|Airbus A321,multi,[SAS| Gulf Air| Philippine Airlines],SK559|SK559|SK559|SK559,5/30/2022 17:05,6/2/2022 08:20,3435,3,804,USD,1582000,1214000,30%,4/29/2022 17:52
CPH,Denmark,TPE,Taiwan,Airbus A320neo|Boeing 777,multi,[SAS| EVA Air],SK1501|SK1501,5/30/2022 20:35,6/1/2022 18:00,2365,1,815,USD,1338000,1214000,10%,4/29/2022 17:52
CPH,Denmark,TPE,Taiwan,De Havilland-Bombardier Dash-8|De Havilland-Bombardier Dash-8|Boeing 787,multi,[Luxair| EVA Air],LG5436|LG5436|LG5436,5/30/2022 20:35,6/1/2022 06:30,1675,2,951,USD,1001000,1214000,-17%,4/29/2022 17:52
CPH,Denmark,TPE,Taiwan,Airbus A319|Airbus A350|Airbus A330,multi,[British Airways| Asiana],BA819|BA819|BA819,5/30/2022 17:55,6/1/2022 11:30,2135,2,981,USD,1074000,1214000,-11%,4/29/2022 17:52
CPH,Denmark,TPE,Taiwan,Airbus A320neo|Airbus A350|Airbus A330,multi,[SAS| Asiana],SK1517|SK1517|SK1517,5/30/2022 16:40,6/1/2022 11:30,2210,2,1000,USD,1027000,1214000,-15%,4/29/2022 17:52
CPH,Denmark,TPE,Taiwan,Airbus A320neo|Airbus A350|Airbus A330,multi,[SAS| Asiana],SK1507|SK1507|SK1507,5/30/2022 18:30,6/1/2022 11:30,2100,2,1000,USD,1027000,1214000,-15%,4/29/2022 17:52
CPH,Denmark,TPE,Taiwan,Airbus A320neo|Airbus A380|Boeing 787,multi,[SAS| Singapore Airlines],SK501|SK501|SK501,5/30/2022 07:50,5/31/2022 13:10,1400,2,1368,USD,1752000,1214000,44%,4/29/2022 17:52
CPH,Denmark,TPE,Taiwan,Airbus A320|Boeing 787,multi,[SAS| EVA Air],SK559|SK559,5/30/2022 17:05,6/1/2022 06:30,1885,1,1404,USD,1010000,1214000,-16%,4/29/2022 17:52
CPH,Denmark,TPE,Taiwan,Airbus A350|Boeing 787,SQ,[Singapore Airlines],SQ351|SQ351,5/30/2022 12:20,5/31/2022 13:10,1130,1,1834,USD,1214000,1214000,0%,4/29/2022 17:52
